timestamp,session_id,device_id,event_type,key,interval_ms
1777217791.1737568,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,e,0.0
1777217791.2139862,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,t,120.18
1777217791.2871106,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217791.3348355,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,t,0.0
1777217791.3575015,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,143.52
1777217791.4703286,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217791.4738321,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,m,116.33
1777217791.5899193,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,e,116.09
1777217791.6302083,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,m,0.0
1777217791.7185597,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,e,0.0
1777217791.8858578,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,n,295.94
1777217791.989314,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,t,103.46
1777217792.005441,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,n,0.0
1777217792.1012113,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,t,0.0
1777217792.1187682,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,129.45
1777217792.2373023,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217792.2398255,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,q,121.06
1777217792.3344305,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,u,94.6
1777217792.3942292,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,q,0.0
1777217792.4858606,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,u,0.0
1777217792.4878626,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,',153.43
1777217792.6142714,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,',0.0
1777217792.6160219,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,128.16
1777217792.6854177,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217792.709495,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,93.47
1777217792.8535163,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
