timestamp,session_id,device_id,event_type,x,y,button,delta_x,delta_y,speed
1777217743.4120338,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1463,1072,,,,276.09
1777217743.4279153,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1462,1072,,,,62.97
1777217743.4326556,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1462,1071,,,,210.96
1777217743.4440343,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1461,1071,,,,87.88
1777217743.4445248,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1459,1070,,,,4559.43
1777217743.4634278,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1458,1069,,,,74.81
1777217743.4736943,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1457,1068,,,,137.75
1777217743.484162,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1456,1068,,,,95.53
1777217743.4945223,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1455,1068,,,,96.52
1777217743.5070546,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1454,1068,,,,79.79
1777217743.528162,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1453,1068,,,,47.38
1777217743.54658,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1453,1068,,,,0.0
1777217743.732544,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_press,1453,1068,left,,,0.0
1777217743.8611028,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_release,1453,1068,left,,,0.0
1777217744.1238842,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1451,1066,,,,4.9
1777217744.1322803,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1450,1065,,,,168.44
1777217744.140294,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1446,1064,,,,514.51
1777217744.147737,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1445,1064,,,,134.36
1777217744.1560478,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1443,1063,,,,269.06
1777217744.1639185,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1439,1061,,,,568.2
1777217744.1721728,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1436,1060,,,,383.11
1777217744.180199,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1429,1058,,,,907.05
1777217744.1879823,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1424,1054,,,,822.66
1777217744.1960156,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1418,1049,,,,972.24
1777217744.203787,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1378,1040,,,,5275.69
1777217744.2123241,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1359,1030,,,,2515.03
1777217744.2203257,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1290,1002,,,,9306.27
1777217744.2276242,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1227,964,,,,10080.62
